,Builder Name,Builder Rating,Phone Numbers,Address,Work They Do,WorkingHours,Year Established
11, Chevron,5.0,+(91)-422-3374124 ,"No 33, Stv Nagar 3rd Cross, Peelamedu, Coimbatore - 641004, Behind Ktm Bike Showroom", * Architects * Interior Designers * Architects For Building * Architects For Temple * Residence Interior Designers * Interior Designers For Kitchen * Commercial Interior Designers * Interior Designers For Shopping Mall * Landscape Designers * Structural Consultants * Interior Designers For Furniture * Structural Engineering Consultants * Industrial Architects * Architects For Hotels * Architects For Office * Architects For Resorts * Interior Decorators For Kitchen * Interior Decorators For Showroom * Architects For Bungalow * Architects For Apartment * Architects For Church * Interior Designers For Corporate * Architects For Restaurant * Architects For Shopping Centre * Architects For Hospital * Interior Designers For Hospital * Architects For Residential * Interior Decorator Warehouse * Interior Designers For Departmental Stores * Interior Designers For Salons * Interior Designers For Temple * Architects For Business Centre * Architects For Departmental Store * Architects For Factory * Architects For Health Club * Architects For Showroom * Interior Designers For Apartment * Interior Designers For Factory * Interior Designers For Hotels * Interior Designers For Industrial * Architects For Stadium * Architects For Auditorium Less,"{'Thursday': '08:30 am - 07:30 pm', 'Sunday': 'Closed', 'Monday': '08:30 am - 07:30 pm', 'Saturday': '08:30 am - 07:30 pm', 'Friday': '08:30 am - 07:30 pm', 'Tuesday': '08:30 am - 07:30 pm', 'Wednesday': '08:30 am - 07:30 pm'}", 2015
12, Er  Arvind R Malpani,3.8,+(91)-291-2556447 +(91)-9414136829 ,"3 C 4 Uday Niwas, Paota B Road, Paota, Jodhpur - 342006, Opposite Laxmi Niwas", * Builders * Architects * Interior Designers * Builders & Developers * Land Surveyors * Civil Engineers * Architects For Building * Property Valuers * Structural Engineers * Surveyors * Total Station Surveyors * Architects For Temple * Residential Builders * Residence Interior Designers * Gps Surveyors * Commercial Interior Designers * Commercial Builders * Mining Surveyors * Quantity Surveyors * Building Surveyors * Interior Designers For Shopping Mall * Borewell Surveyors * Property Surveyors * Interior Designers For Furniture * Industrial Architects * Architects For Hotels * Architects For Office * Architects For Resorts * Marine Surveyors * Architects For Water Park * Architects For Apartment * Architects For Bungalow * Engineering Surveyors * Architects For Church * Interior Designers For Corporate * Architects For Restaurant * Eco Friendly Interior Designers * Project Management For Hospital * Interior Designers For Play Groups * Architects For Hospital * Architects For Amusement Park * Interior Designers For Hospital * Interior Designers For Gold Leafing * Architects For Shopping Centre * Architects For Health Club * Interior Designers For Bronze Leafing * Architects For Factory * Interior Designers For Salons * Architects For Departmental Store * Architects For Business Centre * Quantity Surveyor Exporters * Architects For Auditorium * Interior Designers For Departmental Stores * Interior Designers For Temple * Architects For Call Centre * Interior Designers For Silver Leafing * Project Management For Construction * Interior Designers For Industrial * Interior Designers For Hotels * Interior Designers For Factory * Surveyor Safety Industrial * Interior Designers For Copper Leafing * Interior Designers For Apartment * Interior Designer Corporate * Architects For Stadium * Architects For Showroom * Architects For Residential Less,"{'Thursday': '09:00 am - 09:00 pm', 'Sunday': 'Closed', 'Monday': '09:00 am - 09:00 pm', 'Saturday': '09:00 am - 09:00 pm', 'Friday': '09:00 am - 09:00 pm', 'Tuesday': '09:00 am - 09:00 pm', 'Wednesday': '09:00 am - 09:00 pm'}", 2004
13, Hari Hara Associates,5.0,+(91)-9440244678 9052752678 ,"Door No 40-421-33, Bhaskar Nagar, Kurnool - 518001, Near Old Ayyapa Swamy Temple", * Builders & Developers * Builders * Architects * Civil Contractors * Architects For Building * Civil Contractors For Residential * Commercial Architects * Residential Builders * Commercial Builders * Civil Contractors For Commercial * Architects For Residential Less,"{'Thursday': '10:00 am - 08:00 pm', 'Sunday': '10:00 am - 08:00 pm', 'Monday': '10:00 am - 08:00 pm', 'Saturday': '10:00 am - 08:00 pm', 'Friday': '10:00 am - 08:00 pm', 'Tuesday': '10:00 am - 08:00 pm', 'Wednesday': '10:00 am - 08:00 pm'}", 2016
14, Tectonics Architects,4.4,+(91)-9855510236 9464741556 ,"Sco 47 Ground Floor, Surya Complex Leela Bhawan, Patiala - 147001, Opposite Gopal Sweets", * Architects * Interior Designers * Architects For Building * Architects For Temple * Residence Interior Designers * Interior Designers For Kitchen * Commercial Interior Designers * Interior Designers For Shopping Mall * Interior Designers For Furniture * Industrial Architects * Architects For Office * Architects For Hotels * Architects For Resorts * Architects For Bungalow * Architects For Water Park * Architects For Restaurant * Architects For Hospital * Architects For Shopping Centre * Architects For Amusement Park * Interior Designers For Showroom * Architects For School * Architects For Stadium * Architects For Showroom * Architects For Factory * Architects For Business Centre * Architects For Auditorium * Architects For Residential Less,"{'Thursday': '08:30 am - 09:00 am', 'Sunday': 'Closed', 'Monday': '08:30 am - 09:00 am', 'Saturday': '08:30 am - 09:00 am', 'Friday': '08:30 am - 09:00 am', 'Tuesday': '08:30 am - 09:00 am', 'Wednesday': '08:30 am - 09:00 am'}",
15, Sainath Space Management Consultant,4.1,+(91)-1482-236850 231265 ,"153, Nagori Garden, Bhilwara - 311001", * Interior Designers * Architects * Civil Contractors * Builders & Developers * Building Contractors * Civil Engineers * Interior Decorators * Land Developers * Architects For Building * Interior Decorators for Residences * Building Demolition Contractors * Structural Engineers * Civil Contractors For Residential * Architects For Temple * Civil Consultants * Residence Interior Designers * Architectural Model Makers * Interior Designers For Kitchen * Interior Decorators For Shop * Structural Designing Services * Valuers For Building * Commercial Interior Designers * Building Contractors For Compound Wall * Interior Decorator Contractors * Civil Contractors For Commercial * Interior Designers For Shopping Mall * Structural Consultants * Structural Engineering Consultants * Interior Designers For Furniture * Architects For Hotels * Industrial Architects * Architects For Office * Interior Decorators For Hotel * Interior Decorator Industrial * Interior Decorators For Kitchen * Commercial Interior Decorators * Architects For Resorts * Architects For Apartment * Architects For Bungalow * Interior Decorators For Showroom * Architects For Water Park * Interior Decorators For Restaurants * Interior Decorators For Hospital * Structural Contractors * Architects For Church * Interior Designers For Corporate * Interior & Exterior Decorators * Architects For Restaurant * Pre Engineered Building Designers * Interior Designers For Play Groups * Building Reconstruction Contractors * Interior Designers For Gold Leafing * Structural Demolition Services * Interior Designers For Hospital * Interior Decorators For Discotheques * Land Developers For Farm House * Interior Decorators For Beauty Parlours * Interior Decorators For Bathroom * Interior Decorators For Resorts * Architects For Hospital * Architects For Amusement Park * Interior Decorators For Pubs * Architects For Shopping Centre * Architects For Showroom * Interior Decorators For Banks * Architects For Stadium * Interior Designers For Salons * Interior Decorators For Salons * Interior Designers For Copper Leafing * Architects For Health Club * Architects For Factory * Architects For Departmental Store * Architects For Call Centre * Architects For Business Centre * Architects For Auditorium * Interior Designers For Departmental Stores * Structural Conservation Services * Architectures For Temple * Interior Designers For Bronze Leafing * Building Contractor Industrial * Interior Designers For Apartment * Interior Designers For Hotels * Interior Decorator Penthouse * Interior Decorators For Health Club * Interior Designers For Silver Leafing * Interior Designers For Temple * Interior Decorators For Furniture * Interior Decorators For Departmental Store * Interior Decorators For Bungalow * Interior Decorators For All India * Interior Decorators Consultants * Interior Decorator Studio * Interior Decorator Stadium * Interior Decorators For Business Centre * Interior Decorator Apartment * Architects For Residential Less,"{'Thursday': '10:00 am - 06:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:00 pm', 'Saturday': '10:00 am - 06:00 pm', 'Friday': '10:00 am - 06:00 pm', 'Tuesday': '10:00 am - 06:00 pm', 'Wednesday': '10:00 am - 06:00 pm'}", 1995
16, SAI Sidhartha Engineering Consultancy,None,+(91)-866-2551500 +(91)-9440211540 ,"D. No: 9-116, Vijayawada, Ashoknagar, M G Road, Ashok Nagar, Vijayawada - 520007, Near Coastal Bank", * Builders * Architects * Building Plan * Engineering Consultants Less,"{'Thursday': '10:00 am - 09:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 09:00 pm', 'Saturday': '10:00 am - 09:00 pm', 'Friday': '10:00 am - 09:00 pm', 'Tuesday': '10:00 am - 09:00 pm', 'Wednesday': '10:00 am - 09:00 pm'}", 2004
17, Maruthi Associates,5.0,+(91)-866-2475876 +(91)-9848114441 ,"1st Floor , Rakesh Mansions, Green Land Lane, Labbipet, Vijayawada - 520010", * Builders * Architects * Builders & Developers * Structural Engineers Less,"{'Thursday': '10:00 am - 06:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:00 pm', 'Saturday': '10:00 am - 06:00 pm', 'Friday': '10:00 am - 06:00 pm', 'Tuesday': '10:00 am - 06:00 pm', 'Wednesday': '10:00 am - 06:00 pm'}", 2010
18, Lakshman Associates,3.5,+(91)-866-2476168 ,"4th Floor White House, Labbipet, Vijayawada - 520010"," * Architects
 Less","{'Thursday': '05:30 am - 05:30 am', 'Sunday': '05:30 am - 05:30 am', 'Monday': '05:30 am - 05:30 am', 'Saturday': '05:30 am - 05:30 am', 'Friday': '05:30 am - 05:30 am', 'Tuesday': '05:30 am - 05:30 am', 'Wednesday': '05:30 am - 05:30 am'}",
19, City Planners,None,+(91)-866-2473883 ,"39-2-63/3 1st Flr Shamas Manzil, Labbipet, Vijayawada - 520010", * Builders * Architects * Builders & Developers * Surveyors Less,"{'Thursday': '10:00 am - 06:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:00 pm', 'Saturday': '10:00 am - 06:00 pm', 'Friday': '10:00 am - 06:00 pm', 'Tuesday': '10:00 am - 06:00 pm', 'Wednesday': '10:00 am - 06:00 pm'}",
20, Sv Associates,None,+(91)-866-2438540 ,"Seetharampuram, Vijayawada - 520004"," * Architects
 Less",{},
21, Sri SAI Ram Project Managers,None,+(91)-866-6667176 6667177 ... ,"40-7-28 1st Floor Krishna Soudha, Moghalraja Puram, Vijayawada - 520010, Near Jammi Chettu", * Builders * Architects * Builders & Developers * Commercial Architects * Interior Decorators & Designers Less,{},
22, Srinivasa Associates,3.7,+(91)-866-6612258 +(91)-9849113954 ,"Ramarao Street, Gandhi Nagar, Vijayawada - 520003, Opposite Mayuri Films", * Architects * Interior Designers * Commercial Architects * Architects Directories Less,"{'Thursday': '10:00 am - 06:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:00 pm', 'Saturday': '10:00 am - 06:00 pm', 'Friday': '10:00 am - 06:00 pm', 'Tuesday': '10:00 am - 06:00 pm', 'Wednesday': '10:00 am - 06:00 pm'}", 1963
23, Sri SAI Planners,3.0,+(91)-866-2474662 ,"39-1-86 Garapati Complex, Paidaiah Street, Labbipet, Vijayawada - 520010"," * Architects
 Less",{},
24, C S Associates,None,+(91)-866-2569497 +(91)-9849183536 ,"Door No 11-1-25, Babu Rajendra Prasad Road, Winchipet, Vijayawada - 520001, Opposite Laxmi Vilas Bank & Bodemma Hotel Centre", * Architects * Interior Designers * Property Valuers Less,"{'Thursday': '09:30 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '09:30 am - 06:30 pm', 'Saturday': '09:30 am - 06:30 pm', 'Friday': '09:30 am - 06:30 pm', 'Tuesday': '09:30 am - 06:30 pm', 'Wednesday': '09:30 am - 06:30 pm'}", 2007
25, Srinivas D,4.0,+(91)-866-6581028 +(91)-9849885555 ,"Plot No 120, Road No 5, Veterinary Colony, Vijayawada - 520001", * Architects * Architects For Building * Commercial Architects * Architects For Bungalow * Architects For Residential Less,"{'Thursday': '10:00 am - 06:30 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:30 pm', 'Saturday': '10:00 am - 06:30 pm', 'Friday': '10:00 am - 06:30 pm', 'Tuesday': '10:00 am - 06:30 pm', 'Wednesday': '10:00 am - 06:30 pm'}",
26, Xpert Zone,None,+(91)-8520851100 ,"F3,Plot No 7,Deepthi Sri Nagar, Madinaguda Miyapur, Vijayawada - 520001, Miyapur", * Architects * Interior Designers * Architects For Building * Commercial Architects * Residence Interior Designers * Architect Interior * 3D Interior Designers * Architects For Office * Consultant Architect * Elevation Architectural Designers * Architects & Interior Decorator * Architects For Apartment * Interior Designers For Architect * Architects For Schools * Architect Designer * Architects For Residential Less,"{'Thursday': '12:00 am - 11:59 pm', 'Sunday': '12:00 am - 11:59 pm', 'Monday': '12:00 am - 11:59 pm', 'Saturday': '12:00 am - 11:59 pm', 'Friday': '12:00 am - 11:59 pm', 'Tuesday': '12:00 am - 11:59 pm', 'Wednesday': '12:00 am - 11:59 pm'}", 2000
27, Radhakrishna K Moghalrajpuram,None,+(91)-866-2473747 ,"F No 2 Sravanthi Apartments, Moghalraja Puram, Vijayawada - 520010"," * Architects
 Less",{},
28, Space & Time,4.0,+(91)-866-6667686 +(91)-9246478938 ,"40-5/6-10, Labbipet, Vijayawada - 520010, Opp P&T Colony Road"," * Architects
 Less",{},
29, Ebenezer Associates,4.7,+(91)-9030121177 9000759450 ,"Shop No 3, Police Guest House Complex, G S Raju Road, Gandhi Nagar, Vijayawada - 520003, Near Red Cross Building", * Land Surveyors * Architects * Architects For Building * Total Station Surveyors * Land Survey Mapping * Commercial Architects * Industrial Architects * Architects For Bungalow * Engineering Surveyors * Housing Project Surveyors * Industrial Surveyors * Architects For Residential Less,"{'Thursday': '09:00 am - 08:00 pm', 'Sunday': 'Closed', 'Monday': '09:00 am - 08:00 pm', 'Saturday': '09:00 am - 08:00 pm', 'Friday': '09:00 am - 08:00 pm', 'Tuesday': '09:00 am - 08:00 pm', 'Wednesday': '09:00 am - 08:00 pm'}", 2011
30, U Zone Infra Designing,None,+(91)-8520851050 9533414369 ,Vijayawada - 520001," * Architects
 Less","{'Thursday': '12:00 am - 11:59 pm', 'Sunday': '12:00 am - 11:59 pm', 'Monday': '12:00 am - 11:59 pm', 'Saturday': '12:00 am - 11:59 pm', 'Friday': '12:00 am - 11:59 pm', 'Tuesday': '12:00 am - 11:59 pm', 'Wednesday': '12:00 am - 11:59 pm'}", 2008
31, Lloyd Associates,None,+(91)-866-2484469 ,"Ashok Nagar, Vijayawada - 520007, Near Sunnapu Bhattilu Centre", * Architects * Interior Decorators & Designers Less,{},
32, RGB Architects & Designers,None,+(91)-8297788111 ,"Mohan Viilas Building, Punnamathota, Vijayawada - 520010, Near Montessori College", * Architects * Architects For Building * Commercial Architects * Architect Interior * Architects For Landscape * Architects For Office * Architects For Hotels * Architects For Resorts * Architects & Interior Decorator * Architects For Bungalow * Architects For Apartment * Architects For Schools * Architects For Restaurant * Architects For Shopping Centre * Architect Designer * Architects For Mall * Architects For Hospital * Architects For Amusement Park * Architects For Health Club * Architects For Business Centre * Architects For Spa * Architects For Bridges * Architects For School * Architects For Residential Less,"{'Thursday': '10:00 am - 06:00 pm', 'Sunday': 'Closed', 'Monday': '10:00 am - 06:00 pm', 'Saturday': '10:00 am - 05:00 pm', 'Friday': '10:00 am - 06:00 pm', 'Tuesday': '10:00 am - 06:00 pm', 'Wednesday': '10:00 am - 06:00 pm'}", 2013
33, Varistha Autocad Drawing Services,3.8,+(91)-9966032585 ,"Door no #32/13/52, Boyapatimadavarao street, Moghalraja Puram, Vijayawada - 520010, Near Jammichettu centre", * AUTOCAD Drawing Services * Architects * Commercial Architects * AUTOCAD Services * Architects For Residential Less,"{'Thursday': '09:00 am - 09:00 pm', 'Sunday': '09:00 am - 09:00 pm', 'Monday': '09:00 am - 09:00 pm', 'Saturday': '09:00 am - 09:00 pm', 'Friday': '09:00 am - 09:00 pm', 'Tuesday': '09:00 am - 09:00 pm', 'Wednesday': '09:00 am - 09:00 pm'}", 2003
34, Square planner,5.0,+(91)-9885455040 ,"Plat no-50, ITI road, LIC Colony, Vijayawada - 520008, Beside sbi bank", * Architects * Architects For Building * Commercial Architects * Architects For Hotels * Industrial Architects * Architects For Apartment * Architects For Auditorium Less,"{'Thursday': '09:00 am - 06:00 pm', 'Sunday': 'Closed', 'Monday': '09:00 am - 06:00 pm', 'Saturday': '09:00 am - 06:00 pm', 'Friday': '09:00 am - 06:00 pm', 'Tuesday': '09:00 am - 06:00 pm', 'Wednesday': '09:00 am - 06:00 pm'}", 2005
35, Aims Architect Interior Managementt & Structures,3.0,+(91)-9866669123 ,"Shop No3, Nvkr Towers, Moghalraja Puram, Vijayawada - 520010, Opp Siddhartha Arts College", * Architects * Interior Designers * Architects For Building * Structural Engineers * Interior Designers For Institution * Contractors-Interiors * Commercial Architects * Residence Interior Designers * Interior Decorator Contractors * Architects For Hotels * Architects For Office * Interior Painting Contractors * Architects For Resorts * Architects For Apartment * Architects For Schools * Architects For Restaurant * Architects For Hospital * Architects For Showroom * Architects For Residential Less,"{'Thursday': '09:00 am - 10:00 pm', 'Sunday': '09:00 am - 10:00 pm', 'Monday': '09:00 am - 10:00 pm', 'Saturday': '09:00 am - 10:00 pm', 'Friday': '09:00 am - 10:00 pm', 'Tuesday': '09:00 am - 10:00 pm', 'Wednesday': '09:00 am - 10:00 pm'}",
